Operation,Opcode,Operands,Length
ADD,$00,R/M8; REG8,0
ADD,$01,R/M16; REG16,0
ADD,$02,REG; R/M8,0
ADD,$03,REG16; R/M16,0
ADD,$04,AL; IMM8,2
ADD,$05,AX; IMM16,3
OR,$08,R/M8; REG8,0
OR,$09,R/M16; REG16,0
OR,$0A,REG8; R/M8,0
OR,$0B,REG16; R/M16,0
OR,$0C,AL; IMM8,2
OR,$0D,AX; IMM16,3
AND,$20,R/M8; REG8,0
AND,$21,R/M16; REG16,0
AND,$22,REG8; R/M8,0
AND,$23,REG16; R/M16,0
AND,$24,AL; IMM8,2
AND,$25,AX; IMM16,3
SUB,$28,R/M8; REG8,0
SUB,$29,R/M16; REG16,0
SUB,$2A,REG8; R/M8,0
SUB,$2B,REG16; R/M16,0
SUB,$2C,AL; IMM8,2
SUB,$2D,AX; IMM16,3
XOR,$30,R/M8; REG8,0
XOR,$31,R/M16; REG16,0
XOR,$32,REG8; R/M8,0
XOR,$33,REG16; R/M16,0
XOR,$34,AL; IMM8,2
XOR,$35,AX; IMM16,3
CMP,$38,R/M8; REG8,0
CMP,$39,R/M16; REG16,0
CMP,$3A,REG8; R/M8,0
CMP,$3B,REG16; R/M16,0
CMP,$3C,AL; IMM8,2
CMP,$3D,AX; IMM16,3
INC,$40,REG16(AX),1
INC,$41,REG16(CX),1
INC,$42,REG16(DX),1
INC,$43,REG16(BX),1
INC,$44,REG16(SP),1
INC,$45,REG16(BP),1
INC,$46,REG16(SI),1
INC,$47,REG16(DI),1
DEC,$48,REG16(AX),1
DEC,$49,REG16(CX),1
DEC,$50,REG16(DX),1
DEC,$51,REG16(BX),1
DEC,$52,REG16(SP),1
DEC,$53,REG16(BP),1
DEC,$54,REG16(SI),1
DEC,$55,REG16(DI),1
PUSH,$50,REG16(AX),1
PUSH,$51,REG16(CX),1
PUSH,$52,REG16(DX),1
PUSH,$53,REG16(BX),1
PUSH,$54,REG16(SP),1
PUSH,$55,REG16(BP),1
PUSH,$56,REG16(SI),1
PUSH,$57,REG16(DI),1
POP,$58,REG16(AX),1
POP,$59,REG16(CX),1
POP,$5A,REG16(DX),1
POP,$5B,REG16(BX),1
POP,$5C,REG16(SP),1
POP,$5D,REG16(BP),1
POP,$5E,REG16(SI),1
POP,$5F,REG16(DI),1
MOV,$88,R/M8; REG8,0
MOV,$89,R/M16; REG16,0
MOV,$A0,AL; MEM8,3
MOV,$A1,AX; MEM16,3
MOV,$A2,MEM8; AL,3
MOV,$A3,MEM16; AX,3
MOV,$B0,REG8(AL); IMM8,2
MOV,$B1,REG8(CL); IMM8,2
MOV,$B2,REG8(DL); IMM8,2
MOV,$B3,REG8(BL); IMM8,2
MOV,$B4,REG8(AH); IMM8,2
MOV,$B5,REG8(CH); IMM8,2
MOV,$B6,REG8(DH); IMM8,2
MOV,$B7,REG8(BH); IMM8,2
MOV,$B8,REG16(AX); IMM16,3
MOV,$B9,REG16(CX); IMM16,3
MOV,$BA,REG16(DX); IMM16,3
MOV,$BB,REG16(BX); IMM16,3
MOV,$BC,REG16(SP); IMM16,3
MOV,$BD,REG16(BP); IMM16,3
MOV,$BE,REG16(SI); IMM16,3
MOV,$BF,REG16(DI); IMM16,3
MOV,$C6,R/M8; IMM8,0
MOV,$C7,R/M16; IMM16,0
INT,$CD,IMM8,2
